lens_id,text
TRUE_0000,This plant species demonstrates growth rate and root system as key native traits. Research sample 0
TRUE_0001,This plant species demonstrates drought resistance and cold hardiness as key native traits. Research sample 1
TRUE_0002,This plant species demonstrates growth rate and soil adaptation as key native traits. Research sample 2
TRUE_0003,This plant species demonstrates pest tolerance and soil adaptation as key native traits. Research sample 3
TRUE_0004,This plant species demonstrates soil adaptation and pest tolerance as key native traits. Research sample 4
TRUE_0005,This plant species demonstrates drought resistance and nutrient efficiency as key native traits. Research sample 5
TRUE_0006,This plant species demonstrates root system and flowering pattern as key native traits. Research sample 6
TRUE_0007,This plant species demonstrates root system and soil adaptation as key native traits. Research sample 7
TRUE_0008,This plant species demonstrates pest tolerance and growth rate as key native traits. Research sample 8
TRUE_0009,This plant species demonstrates pest tolerance and nutrient efficiency as key native traits. Research sample 9
TRUE_0010,This plant species demonstrates growth rate and seed dispersal as key native traits. Research sample 10
TRUE_0011,This plant species demonstrates cold hardiness and pest tolerance as key native traits. Research sample 11
TRUE_0012,This plant species demonstrates drought resistance and root system as key native traits. Research sample 12
TRUE_0013,This plant species demonstrates nutrient efficiency and nutrient efficiency as key native traits. Research sample 13
TRUE_0014,This plant species demonstrates soil adaptation and seed dispersal as key native traits. Research sample 14
TRUE_0015,This plant species demonstrates drought resistance and cold hardiness as key native traits. Research sample 15
TRUE_0016,This plant species demonstrates drought resistance and root system as key native traits. Research sample 16
TRUE_0017,This plant species demonstrates drought resistance and drought resistance as key native traits. Research sample 17
TRUE_0018,This plant species demonstrates root system and pest tolerance as key native traits. Research sample 18
TRUE_0019,This plant species demonstrates soil adaptation and flowering pattern as key native traits. Research sample 19
TRUE_0020,This plant species demonstrates drought resistance and soil adaptation as key native traits. Research sample 20
TRUE_0021,This plant species demonstrates nutrient efficiency and cold hardiness as key native traits. Research sample 21
TRUE_0022,This plant species demonstrates soil adaptation and root system as key native traits. Research sample 22
TRUE_0023,This plant species demonstrates nutrient efficiency and drought resistance as key native traits. Research sample 23
TRUE_0024,This plant species demonstrates cold hardiness and growth rate as key native traits. Research sample 24
TRUE_0025,This plant species demonstrates growth rate and flowering pattern as key native traits. Research sample 25
TRUE_0026,This plant species demonstrates nutrient efficiency and pest tolerance as key native traits. Research sample 26
TRUE_0027,This plant species demonstrates drought resistance and cold hardiness as key native traits. Research sample 27
TRUE_0028,This plant species demonstrates soil adaptation and drought resistance as key native traits. Research sample 28
TRUE_0029,This plant species demonstrates growth rate and growth rate as key native traits. Research sample 29
TRUE_0030,This plant species demonstrates drought resistance and drought resistance as key native traits. Research sample 30
TRUE_0031,This plant species demonstrates root system and cold hardiness as key native traits. Research sample 31
TRUE_0032,This plant species demonstrates seed dispersal and root system as key native traits. Research sample 32
TRUE_0033,This plant species demonstrates seed dispersal and flowering pattern as key native traits. Research sample 33
TRUE_0034,This plant species demonstrates cold hardiness and cold hardiness as key native traits. Research sample 34
TRUE_0035,This plant species demonstrates flowering pattern and flowering pattern as key native traits. Research sample 35
TRUE_0036,This plant species demonstrates growth rate and cold hardiness as key native traits. Research sample 36
TRUE_0037,This plant species demonstrates nutrient efficiency and root system as key native traits. Research sample 37
